zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_bal,revol_util,mort_acc,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
14,1.2551573343473714,13.11288620591311,5.257343853978515,23.318756535792375,6.5014259910637895,3.8356307633805495,10.98248277770711,1.056944576480654,2.5864625915010935,19.77658522673258,15607.49130145451,53.522283487023486,1.46658427607187,5957.98032132332,0.49628874179579574,0.22114674939010873,698.8618689989543,0.03101733043870382
15,1.2781107648046033,13.215221769359866,5.227163749700312,23.189882522176937,5.908774874130904,3.816111244305922,11.012323577369981,1.0700071925197794,2.5956605130664108,19.732602493406855,15688.916926396547,52.894090146247905,1.371253895948214,5889.6154399424595,0.5083960762420955,0.21869579316432325,697.9956245504675,0.03081548929270474
16,1.2877070619006104,13.086222028480094,5.263586166811973,23.350479511769834,6.349462365591398,3.867189770415577,10.964381271254235,1.0316768381284511,2.587910491136298,20.096341179889567,15313.760825341471,53.634553908747456,1.4879395524556815,6013.876489392618,0.484334080178709,0.22272872894468196,698.222028480093,0.030646645190828343
17,1.2933292250808812,13.422061315667849,5.166538283777538,22.877984902172237,6.3353874595593895,3.8000308118933908,10.994772420809054,1.039747342474195,2.532275458326914,19.526143891542134,16676.413187490372,54.64125712525035,1.8345401324911417,5953.152364812818,0.47802450993809037,0.22645461051159535,696.5024649514713,0.03076572418632534
18,1.2834463847597055,13.281588973877906,5.205801702987444,23.074613941405687,6.437436859575697,3.8213306393418964,11.081572433182481,1.0639341896377543,2.6514648578438447,18.77710780776447,17648.15832010391,52.66957713955838,1.7931880502236974,6155.829989897532,0.4965277288422589,0.2173298353291568,697.9835474094386,0.03079736429095455
19,1.2704726573234406,13.22807158560044,5.215306402857928,23.131629568562794,5.956478428139599,3.712764495740588,11.135186732708831,1.0828524319868096,2.671819181093707,17.867756251717505,19057.407598241276,54.60010305028854,1.6275762572135202,5864.304822753504,0.5096015710303221,0.20850008704978495,697.8385888980489,0.030912253075223446
20,1.2624275612738582,13.09740230740603,5.255781806581956,23.327662289329577,5.77364559519379,3.6261364240523153,11.310421222172764,1.1119145090116433,2.773246849912276,16.76773991174438,20037.617629858047,55.06024988037642,1.8051464724334096,5805.492317507576,0.49829631586128476,0.19058426423217598,697.5107395395821,0.030934584256984296
21,1.2787946273227087,13.213794279351383,5.225624608532257,23.17753497111838,6.163233349571995,3.737212053726773,11.17574238045238,1.1103069107105574,2.6465307258681885,17.932346718630384,18438.187486951076,54.07620711253393,1.9405664973206207,5868.650219221936,0.49073166766488946,0.204727488647351,697.0386944115805,0.03081710249764273
22,1.2575370464997444,12.915661727133369,5.308720831204224,23.611565321069666,5.776188042922841,3.6067961165048543,11.269048611821702,1.0979390223130643,2.634304207119741,17.58816811446091,20108.663089763242,55.55518650996423,1.7668199625276784,5879.580054505195,0.48333581413009713,0.19863963412165173,698.9064469425992,0.030894758461909734
23,1.2978844511905892,13.536608481168768,5.1374632387818995,22.70837681434399,6.349587325680676,3.741011289251494,11.091269135653029,1.1124181766435821,2.6440565411251304,19.04133763400057,17828.350536002275,55.54018688928944,2.0170761787306706,5852.778958353098,0.4818604048281173,0.22015114308406253,696.0404610568257,0.030772401955933865
