zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_bal,revol_util,mort_acc,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
10,0.40964907307156934,4.60591555405546,1.311486338248852,6.492394030628769,3.628052528942953,0.6285969628222581,0.584972496751269,0.8173653391524208,2.6195999327846433,8.116298878946047,27625.974620230907,24.449171232544938,1.373504312077619,2715.8658605490687,0.1860509682611043,0.10918116649312866,30.84350693851307,0.004068079049765235
11,0.4137978321157943,4.601322563414748,1.3053084518127804,6.466995611503083,3.5979624520539075,0.6739366017769233,0.5282511492496159,0.8272007788161213,2.635217302540551,8.155828866295392,26818.32479897428,24.040219800140942,1.4697673286476738,2667.407179676862,0.18621542576898772,0.10931543881609128,30.846593609783465,0.004138604331245075
12,0.44804839986473444,4.606427504646788,1.3010749712827967,6.482307646579355,3.561557386082883,0.6655997465760319,0.4925446437136926,0.8391650952439437,2.1924790453023255,8.196874295572607,20066.196652298244,23.892539777459778,1.8941942277514465,2544.668035400165,0.16658263364388615,0.11085176161634219,31.79480820369234,0.004360476907185654
13,0.44279859094191154,4.548229355490128,1.2890612965873907,6.424613992903083,3.4982650127869497,0.6556338656452051,0.48317477115308255,0.8438400353218988,2.2754377537702704,8.05069688502314,14719.214046346002,23.96410190869187,1.7991264131624174,2492.201005215808,0.16848101915259225,0.11371814605800237,31.434808267806716,0.004363688229983566
14,0.43597034107535654,4.55950291538506,1.299303212099788,6.447457635203038,3.567530660726653,0.6558935783983237,0.4835583109125739,0.845493529087287,2.2591453292465635,8.123986007734379,17157.336325877994,23.922734528077637,1.704105206651705,2530.5100861964793,0.16863012265241653,0.11295822730161462,31.994396459334297,0.004302215764074819
15,0.4480951204603517,4.545682067341093,1.2903840821728216,6.415359914671707,3.6142207648547817,0.653297102791431,0.5024679258130627,0.8459524284957383,2.304979750919471,8.203561532646056,18268.282103911824,23.934528961123103,1.696672861577782,2650.2890706589696,0.1726519949703036,0.11374784644993384,31.071667451213273,0.00438598020639565
16,0.4527596289469559,4.4428485090024,1.2646728764808157,6.265244703474894,3.5686995834167967,0.6439128491423926,0.515253375938728,0.855479469913232,2.2758627980848827,8.215470793517786,17449.933442401223,23.75165405219578,1.7642896234504104,2588.434374631813,0.16924800025720282,0.11357432870351805,30.837563784877666,0.004452797141339146
17,0.4553231053538018,4.5641845919235235,1.299103170280105,6.427998320647699,3.5999456745716776,0.6179692366767404,0.4789709682902257,0.838200543945674,2.206587290755281,8.187595066377646,21892.2698530467,23.914998714926913,2.038848284451318,2487.701176023395,0.1688232884626323,0.11421183109520895,30.946654883339654,0.004457795129473091
18,0.4507037255230287,4.556049324922355,1.2985672716268948,6.448324797588317,3.5620961518721983,0.6396727263302747,0.5172021823491793,0.8395084371176355,2.3102745090389196,8.205808341474897,23390.76722021546,23.904632883119213,2.034227843899604,2709.760115405768,0.17004781358197799,0.11283986715850125,31.512058536364844,0.004416015961015716
19,0.4442192652561427,4.626366307654527,1.3172019346647363,6.549537983797896,3.603685077963303,0.6424825368421493,0.512786512146812,0.8278923240628024,2.364795043538593,8.112498342614748,29796.813095825964,24.32992405221382,2.0078186383906282,2677.1754381544733,0.1765764052180898,0.1109458734697859,31.362717173200306,0.004339923418276505
20,0.4399654846551098,4.68782510840107,1.3299392847388911,6.635403868782478,3.629468352408745,0.6267040289608591,0.4941194820433858,0.8107050391429916,2.4849386572957797,8.016262254236228,27595.31330813102,24.78290550254561,2.277869388848157,2600.8095350727726,0.1770253887927816,0.10492781215509653,30.9203427407405,0.0042854144849212615
21,0.448421874204546,4.692400791749944,1.324782124246012,6.5899005511456155,3.6114569819497233,0.6222776296944709,0.4880287260538493,0.8208958260964673,2.3340782000087104,8.083250419952352,24838.74126241176,24.326574805458506,2.2214728898726834,2613.238041869612,0.16984693813788526,0.10817175131800305,31.374589041917567,0.004361721784775034
22,0.4372962405414879,4.687533906605418,1.3311916155033174,6.640714145065816,3.6183298483519257,0.6234479183260457,0.5130616998353434,0.8175409669445652,2.3362968846167136,8.131231651751374,25727.31755219691,24.879317742584366,2.176512688443883,2558.8806368155965,0.1702062336271217,0.10671998382717371,31.94207676321417,0.004271923609677978
23,0.4573501375500342,4.732365342173271,1.3430478721930863,6.7042960420947235,3.584766032142906,0.60523967837429,0.4835287470511876,0.8162128761954838,2.285763632469482,8.390830778399831,21791.431813876807,24.282791496814816,2.2317981086349774,2478.909306299628,0.16738231091061548,0.11196282129387805,30.51692533362049,0.004418174528198966
